adminPcode,name,male_population_2022,female_population_2022,population_2022,crude_birth_rate_2022
SO1101,Abdiaziz,25390,38086,63476,25
SO1102,Bondhere,53220,79830,133050,25
SO1103,Deynile,131691,197537,329228,25
SO1104,Dharkenley,63034,94552,157586,25
SO1105,Heliwaa,198340,297511,"495,851",25
SO1106,Hodan,115864,173797,289661,25
SO1107,Howlwadag,131492,197237,328729,25
SO1108,Karan,131691,197537,329228,25
SO1109,Kaxda,15776,23663,"39,439",25
SO1110,Shibis,15776,23663,39439,25
SO1111,Shingani,66609,99914,166523,25
SO1112,Waberi,71202,106803,178005,25
SO1113,Wadajir,53220,79830,133050,25
SO1114,Wartanabadda,168348,252522,"420,870",25
SO1115,Xamarjajab,30030,45045,75075,25
SO1116,Xamarweyne,22935,34403,57338,25
SO1117,Yaqshid,160772,241157,401929,25
SO11,BANADIR,"1,455,390","2,183,087","3,638,477",25